velocity_fraction,gamma,proper_time,dilated_time,proper_length,contracted_length
0.000,1.000000,10.000,10.000,100.000,100.000
0.010,1.000050,10.000,10.001,100.000,99.995
0.020,1.000200,10.000,10.002,100.000,99.980
0.030,1.000450,10.000,10.005,100.000,99.955
0.040,1.000801,10.000,10.008,100.000,99.920
0.050,1.001252,10.000,10.013,100.000,99.875
0.060,1.001805,10.000,10.018,100.000,99.820
0.070,1.002459,10.000,10.025,100.000,99.755
0.080,1.003215,10.000,10.032,100.000,99.679
0.090,1.004075,10.000,10.041,100.000,99.594
0.100,1.005038,10.000,10.050,100.000,99.499
0.110,1.006105,10.000,10.061,100.000,99.393
0.120,1.007279,10.000,10.073,100.000,99.277
0.130,1.008559,10.000,10.086,100.000,99.151
0.140,1.009946,10.000,10.099,100.000,99.015
0.150,1.011443,10.000,10.114,100.000,98.869
0.160,1.013051,10.000,10.131,100.000,98.712
0.170,1.014771,10.000,10.148,100.000,98.544
0.180,1.016605,10.000,10.166,100.000,98.367
0.190,1.018554,10.000,10.186,100.000,98.178
0.200,1.020621,10.000,10.206,100.000,97.980
0.210,1.022807,10.000,10.228,100.000,97.770
0.220,1.025115,10.000,10.251,100.000,97.550
0.230,1.027548,10.000,10.275,100.000,97.319
0.240,1.030107,10.000,10.301,100.000,97.077
0.250,1.032796,10.000,10.328,100.000,96.825
0.260,1.035616,10.000,10.356,100.000,96.561
0.270,1.038572,10.000,10.386,100.000,96.286
0.280,1.041667,10.000,10.417,100.000,96.000
0.290,1.044903,10.000,10.449,100.000,95.703
0.300,1.048285,10.000,10.483,100.000,95.394
0.310,1.051816,10.000,10.518,100.000,95.074
0.320,1.055501,10.000,10.555,100.000,94.742
0.330,1.059343,10.000,10.593,100.000,94.398
0.340,1.063349,10.000,10.633,100.000,94.043
0.350,1.067521,10.000,10.675,100.000,93.675
0.360,1.071866,10.000,10.719,100.000,93.295
0.370,1.076389,10.000,10.764,100.000,92.903
0.380,1.081097,10.000,10.811,100.000,92.499
0.390,1.085995,10.000,10.860,100.000,92.081
0.400,1.091089,10.000,10.911,100.000,91.652
0.410,1.096388,10.000,10.964,100.000,91.209
0.420,1.101899,10.000,11.019,100.000,90.752
0.430,1.107630,10.000,11.076,100.000,90.283
0.440,1.113589,10.000,11.136,100.000,89.800
0.450,1.119785,10.000,11.198,100.000,89.303
0.460,1.126229,10.000,11.262,100.000,88.792
0.470,1.132931,10.000,11.329,100.000,88.267
0.480,1.139902,10.000,11.399,100.000,87.727
0.490,1.147154,10.000,11.472,100.000,87.172
0.500,1.154701,10.000,11.547,100.000,86.603
0.510,1.162555,10.000,11.626,100.000,86.017
0.520,1.170732,10.000,11.707,100.000,85.417
0.530,1.179249,10.000,11.792,100.000,84.800
0.540,1.188121,10.000,11.881,100.000,84.167
0.550,1.197369,10.000,11.974,100.000,83.516
0.560,1.207011,10.000,12.070,100.000,82.849
0.570,1.217071,10.000,12.171,100.000,82.164
0.580,1.227572,10.000,12.276,100.000,81.462
0.590,1.238538,10.000,12.385,100.000,80.740
0.600,1.250000,10.000,12.500,100.000,80.000
0.610,1.261987,10.000,12.620,100.000,79.240
0.620,1.274532,10.000,12.745,100.000,78.460
0.630,1.287672,10.000,12.877,100.000,77.660
0.640,1.301448,10.000,13.014,100.000,76.837
0.650,1.315903,10.000,13.159,100.000,75.993
0.660,1.331087,10.000,13.311,100.000,75.127
0.670,1.347053,10.000,13.471,100.000,74.236
0.680,1.363862,10.000,13.639,100.000,73.321
0.690,1.381579,10.000,13.816,100.000,72.381
0.700,1.400280,10.000,14.003,100.000,71.414
0.710,1.420048,10.000,14.200,100.000,70.420
0.720,1.440976,10.000,14.410,100.000,69.397
0.730,1.463171,10.000,14.632,100.000,68.345
0.740,1.486753,10.000,14.868,100.000,67.261
0.750,1.511858,10.000,15.119,100.000,66.144
0.760,1.538644,10.000,15.386,100.000,64.992
0.770,1.567290,10.000,15.673,100.000,63.804
0.780,1.598007,10.000,15.980,100.000,62.578
0.790,1.631037,10.000,16.310,100.000,61.311
0.800,1.666667,10.000,16.667,100.000,60.000
0.810,1.705234,10.000,17.052,100.000,58.643
0.820,1.747141,10.000,17.471,100.000,57.236
0.830,1.792875,10.000,17.929,100.000,55.776
0.840,1.843024,10.000,18.430,100.000,54.259
0.850,1.898316,10.000,18.983,100.000,52.678
0.860,1.959655,10.000,19.597,100.000,51.029
0.870,2.028185,10.000,20.282,100.000,49.305
0.880,2.105380,10.000,21.054,100.000,47.497
0.890,2.193172,10.000,21.932,100.000,45.596
0.900,2.294157,10.000,22.942,100.000,43.589
0.910,2.411915,10.000,24.119,100.000,41.461
0.920,2.551552,10.000,25.516,100.000,39.192
0.930,2.720648,10.000,27.206,100.000,36.756
0.940,2.931052,10.000,29.311,100.000,34.117
0.950,3.202563,10.000,32.026,100.000,31.225
0.960,3.571429,10.000,35.714,100.000,28.000
0.970,4.113450,10.000,41.135,100.000,24.310
0.980,5.025189,10.000,50.252,100.000,19.900
0.990,7.088812,10.000,70.888,100.000,14.107
0.990,7.088812,10.000,70.888,100.000,14.107
0.990,7.088812,10.000,70.888,100.000,14.107
0.990,7.088812,10.000,70.888,100.000,14.107
0.990,7.088812,10.000,70.888,100.000,14.107
0.990,7.088812,10.000,70.888,100.000,14.107
0.990,7.088812,10.000,70.888,100.000,14.107
0.990,7.088812,10.000,70.888,100.000,14.107
0.990,7.088812,10.000,70.888,100.000,14.107
